category,sex,age,area,c_record
1,1,75,1,0
1,1,78,6,0
1,1,80,1,0
1,1,84,24,0
1,0,77,11,0
1,1,75,1,0
1,1,77,11,0
1,0,75,1,0
1,0,76,2,0
1,1,75,12,0
1,1,63,5,0
1,0,61,3,0
1,0,75,19,0
1,1,73,6,0
1,0,83,22,0
1,0,89,0,2
1,1,87,10,0
1,0,78,12,1
1,1,85,27,0
1,0,72,22,0
1,1,81,29,0
1,0,78,24,0
1,1,79,1,0
1,0,76,5,0
1,0,81,11,0
1,1,76,26,0
1,1,88,20,0
1,0,86,21,0
1,0,82,16,0
1,0,85,21,0
1,0,81,4,0
1,1,89,9,0
1,0,84,10,3
0,0,51,11,0
1,1,87,3,0
1,0,81,24,0
1,0,77,29,1
1,1,71,2,0
1,0,89,12,0
1,1,95,9,2
1,0,81,9,0
1,1,82,24,0
1,1,79,9,0
1,0,83,5,0
1,1,81,9,0
1,1,80,1,0
1,0,88,13,0
1,1,95,1,0
1,0,91,1,0
1,0,89,1,0
0,1,26,22,2
1,0,84,3,0
1,0,72,29,0
1,1,98,1,0
1,0,75,13,0
1,0,79,3,0
1,0,83,1,0
1,0,82,28,0
1,0,60,28,0
1,1,87,28,0
1,0,86,28,0
1,0,94,28,0
1,1,59,28,0
1,1,79,28,0
1,1,79,28,0
1,1,77,11,0
1,0,90,22,0
1,0,81,22,0
1,1,82,15,1
1,0,80,22,0
1,0,89,15,0
1,1,58,22,0
1,0,60,22,0
1,0,72,21,0
1,1,81,28,0
1,0,84,4,0
1,0,80,4,0
1,1,80,21,0
1,0,81,14,0
1,0,83,3,0
1,0,74,16,0
1,1,74,10,0
0,1,36,21,0
1,1,79,13,3
0,0,39,13,1
1,0,59,6,0
1,0,79,2,0
1,1,90,28,0
1,1,77,20,2
1,0,91,0,2
1,0,85,23,0
1,0,91,24,0
1,1,49,13,3
1,1,85,19,0
1,0,78,19,0
1,0,83,10,0
1,1,82,15,0
1,0,81,2,0
1,0,78,11,0
1,0,84,2,0
1,1,70,6,0
1,1,67,3,0
1,1,86,3,0
1,0,88,1,0
