category,p_area,p_date
1,9,01
1,12,01
1,19,01
1,19,01
1,24,01
1,23,01
0,5,01
0,3,01
1,20,01
1,14,01
1,4,01
0,19,01
1,5,01
0,28,01
1,6,01
1,13,01
1,22,01
1,3,01
1,24,01
1,28,01
1,5,01
1,1,01
0,21,01
0,21,01
0,21,01
1,6,01
1,2,01
1,5,01
0,18,01
1,23,01
1,7,01
0,7,01
1,5,01
0,28,01
1,7,01
1,7,01
1,24,01
1,10,01
1,24,01
1,10,01
1,10,01
1,10,01
1,10,01
1,5,01
1,14,01
1,21,02
1,17,02
1,25,02
1,1,02
0,12,02
1,10,02
1,0,02
1,3,02
1,19,02
1,23,02
1,23,02
1,3,02
0,30,02
1,3,02
1,25,02
1,5,02
1,25,02
1,10,02
1,9,02
1,10,02
0,28,02
1,10,02
1,18,02
0,20,02
1,30,02
0,3,02
1,19,02
0,21,02
1,25,02
1,10,02
1,16,02
1,15,02
1,13,02
0,17,02
1,5,02
1,7,02
1,23,02
1,20,02
1,5,02
1,27,02
1,6,02
0,4,02
1,23,02
0,24,02
1,27,02
1,3,02
1,7,02
1,24,02
1,10,02
1,10,02
1,10,02
1,10,02
1,10,02
1,10,02
1,10,02
1,10,02
1,3,02
1,9,02
0,28,02
1,5,02
1,10,02
0,13,03
1,18,03
1,13,03
1,25,03
0,2,03
0,2,03
0,2,03
0,2,03
0,2,03
0,2,03
0,2,03
0,2,03
0,2,03
0,2,03
0,2,03
0,2,03
0,2,03
0,2,03
0,2,03
0,2,03
0,2,03
0,2,03
0,2,03
0,2,03
0,2,03
0,2,03
0,2,03
0,2,03
1,10,03
1,23,03
0,12,03
1,13,03
1,25,03
1,7,03
1,6,03
1,28,03
1,6,03
1,29,03
1,1,03
1,22,03
0,17,03
1,4,03
1,11,03
1,6,03
1,27,03
1,18,03
1,15,03
1,13,03
1,6,03
1,5,03
1,17,03
1,6,03
1,28,03
1,28,03
1,15,03
1,5,03
1,10,03
1,4,03
1,18,03
1,10,03
0,4,03
1,9,03
1,6,03
0,6,03
1,10,03
1,24,03
1,10,03
1,10,03
1,10,03
1,20,03
0,25,03
1,28,03
0,6,03
0,6,03
1,5,03
1,11,03
0,25,03
1,13,03
0,2,03
1,10,03
1,13,03
1,2,03
1,1,04
1,28,04
1,28,04
1,3,04
1,22,04
1,4,04
1,28,04
1,15,04
1,18,04
1,10,04
1,10,04
1,3,04
0,24,04
1,7,04
1,7,04
0,8,04
1,3,04
0,8,04
1,9,04
1,24,04
1,7,04
1,1,04
1,16,04
0,19,04
1,22,04
1,22,04
0,12,04
1,22,04
1,22,04
1,22,04
0,8,04
1,22,04
1,22,04
1,22,04
1,14,04
0,30,04
1,22,04
0,20,04
0,20,04
0,20,04
0,20,04
1,6,04
1,27,04
0,12,04
1,18,04
0,14,04
0,14,04
0,14,04
0,14,04
0,14,04
0,14,04
0,14,04
0,14,04
0,14,04
0,14,04
0,14,04
1,26,04
1,1,04
0,24,04
0,24,04
0,24,04
0,24,04
0,24,04
0,24,04
0,24,04
0,24,04
0,24,04
0,24,04
0,24,04
1,5,04
0,24,04
0,24,04
0,24,04
0,24,04
0,18,04
0,21,04
0,21,04
0,21,04
0,21,04
0,21,04
0,21,04
0,21,04
0,21,04
0,21,04
0,21,04
0,21,04
0,21,04
0,21,04
0,21,04
0,21,04
0,21,04
0,21,04
0,21,04
0,21,04
0,21,04
0,21,04
0,21,04
0,21,04
0,21,04
0,21,04
0,21,04
0,21,04
0,21,04
0,21,04
1,13,04
1,15,04
0,25,04
1,10,04
1,10,04
1,10,04
1,10,04
1,10,04
1,10,04
1,10,04
0,17,04
0,3,04
1,6,04
0,28,04
0,28,04
1,2,04
1,24,04
1,15,04
1,6,04
1,5,04
1,30,04
1,18,04
1,18,04
1,18,04
1,9,04
0,19,04
1,18,04
0,23,04
1,22,04
1,22,04
1,22,04
1,22,04
1,22,04
1,22,04
1,22,04
1,22,04
1,22,04
1,22,04
1,22,04
1,22,04
1,22,04
1,22,04
0,22,04
0,22,04
0,22,04
0,22,04
0,22,04
0,22,04
0,22,04
0,22,04
0,22,04
1,29,04
0,22,04
1,12,04
0,6,04
1,10,05
1,6,05
0,10,05
1,3,05
1,10,05
1,6,05
0,29,05
1,10,05
1,29,05
0,19,05
1,24,05
1,7,05
1,19,05
1,28,05
1,5,05
1,18,05
1,4,05
1,18,05
0,2,05
1,20,05
1,20,05
0,2,05
1,22,05
1,22,05
1,7,05
0,6,05
0,1,05
0,1,05
0,1,05
0,1,05
0,1,05
0,1,05
0,1,05
0,1,05
0,1,05
0,1,05
0,1,05
0,1,05
0,21,05
0,21,05
0,21,05
0,21,05
0,21,05
1,1,05
0,1,05
0,1,05
0,1,05
0,1,05
0,1,05
0,6,05
1,2,05
1,6,05
0,20,05
0,20,05
0,12,05
1,23,05
0,2,05
0,2,05
0,2,05
0,2,05
1,24,05
1,6,05
1,24,05
1,24,05
1,24,05
1,24,05
1,3,05
0,18,05
1,2,05
0,23,05
0,23,05
0,23,05
0,15,05
1,7,05
0,17,05
0,4,05
1,28,05
1,28,05
0,23,05
0,22,05
0,3,05
1,24,05
1,24,05
1,24,05
1,24,05
1,24,05
1,24,05
1,24,05
1,9,05
1,24,05
1,24,05
1,24,05
1,24,05
1,24,05
1,24,05
1,24,05
1,24,05
1,24,05
1,24,05
1,24,05
1,24,05
1,24,05
1,24,05
1,24,05
1,24,05
1,24,05
1,24,05
1,24,05
1,24,05
1,24,05
1,24,05
0,0,05
0,4,05
1,4,05
0,1,05
0,4,05
0,3,05
0,9,05
1,6,05
1,10,05
0,17,05
1,0,05
1,19,05
0,20,05
1,4,05
1,24,05
1,6,05
0,22,05
1,10,05
1,10,05
1,10,05
1,10,05
0,9,05
0,21,05
1,1,05
1,20,05
0,19,05
0,20,05
0,25,05
1,15,05
1,26,05
0,24,05
1,14,05
0,14,05
0,28,05
0,26,06
1,1,06
1,4,06
1,18,06
1,22,06
1,13,06
0,2,06
1,10,06
1,27,06
1,20,06
0,,06
1,3,06
1,24,06
1,24,06
0,5,06
1,22,06
1,22,06
1,27,06
1,10,06
1,29,06
1,12,06
1,12,06
1,12,06
1,12,06
1,12,06
1,12,06
1,12,06
1,12,06
1,12,06
1,12,06
1,12,06
1,12,06
1,12,06
1,12,06
1,12,06
1,12,06
1,12,06
1,12,06
0,3,06
0,3,06
0,3,06
0,3,06
0,3,06
0,3,06
1,14,06
0,21,06
1,19,06
1,19,06
0,16,06
0,16,06
0,16,06
0,16,06
0,16,06
0,16,06
0,16,06
0,16,06
0,16,06
0,16,06
1,9,06
0,17,06
0,25,06
0,3,06
1,4,06
1,10,06
0,7,06
1,6,06
1,20,06
0,30,06
1,19,06
1,12,06
1,12,06
1,12,06
1,29,06
1,22,06
1,22,06
1,22,06
1,10,06
0,12,06
0,9,06
1,3,06
0,6,06
1,22,06
0,2,06
0,2,06
0,2,06
0,10,06
0,2,06
0,2,06
0,2,06
0,2,06
1,12,06
1,10,06
1,25,06
0,12,06
0,12,06
0,12,06
0,12,06
0,12,06
0,12,06
0,12,06
0,12,06
0,12,06
0,12,06
0,12,06
0,12,06
0,12,06
0,12,06
0,19,06
0,30,06
1,15,06
1,6,06
1,10,06
1,24,06
1,6,06
0,9,06
1,15,06
0,12,06
0,12,06
0,2,07
0,2,07
0,2,07
0,2,07
0,2,07
1,6,07
0,2,07
0,2,07
0,2,07
0,2,07
0,2,07
0,2,07
0,2,07
0,2,07
0,2,07
0,2,07
0,7,07
0,2,07
0,4,07
1,29,07
1,18,07
1,10,07
0,2,07
0,2,07
0,2,07
0,2,07
0,2,07
0,2,07
0,2,07
0,2,07
0,2,07
0,2,07
0,2,07
0,2,07
0,2,07
0,2,07
0,2,07
1,9,07
0,6,07
1,12,07
1,9,07
1,30,07
1,18,07
1,6,07
1,13,07
1,10,07
0,19,07
1,10,07
1,7,07
0,9,07
1,16,07
1,16,07
1,0,07
1,4,07
1,15,07
1,8,07
1,8,07
1,8,07
1,8,07
1,8,07
1,8,07
1,8,07
1,8,07
1,8,07
1,8,07
1,8,07
0,21,07
1,4,07
1,5,07
1,13,07
1,9,07
0,2,07
0,20,07
0,20,07
1,15,07
1,10,07
0,3,07
1,13,07
1,15,07
1,23,07
0,9,07
0,9,07
1,10,07
1,10,07
1,10,07
0,2,07
0,2,07
1,18,07
0,2,07
0,2,07
0,2,07
1,6,07
1,4,07
1,5,07
1,10,07
1,4,07
1,10,07
1,5,07
0,28,07
1,6,07
1,12,07
0,0,07
1,19,07
1,5,07
1,5,07
1,5,07
1,5,07
1,5,07
1,5,07
1,5,07
1,5,07
1,5,07
1,5,07
1,5,07
1,5,07
1,5,07
1,5,07
1,5,07
1,5,07
1,5,07
1,5,07
1,5,07
1,29,07
1,5,07
1,5,07
1,5,07
1,3,07
1,10,07
1,10,07
1,10,07
1,10,07
1,10,07
1,10,07
0,25,07
1,7,07
1,3,07
1,20,07
1,3,07
0,1,07
1,10,07
1,19,07
1,19,07
1,19,07
1,19,07
1,19,07
1,19,07
1,19,07
1,19,07
1,19,07
1,19,07
1,19,07
1,19,07
1,19,07
1,7,07
1,19,07
1,19,07
1,19,07
1,19,07
0,1,07
1,10,07
0,3,07
1,9,07
1,10,07
0,7,07
0,2,07
0,21,07
1,19,07
1,19,07
1,9,07
1,15,07
0,20,08
0,10,08
0,26,08
1,21,08
1,10,08
1,23,08
0,23,08
1,5,08
0,15,08
1,2,08
1,16,08
1,20,08
1,20,08
1,28,08
1,10,08
1,22,08
1,10,08
1,20,08
1,20,08
1,20,08
1,20,08
1,20,08
1,20,08
1,3,08
1,10,08
1,6,08
1,10,08
0,11,08
1,10,08
1,10,08
1,10,08
1,10,08
1,16,08
1,23,08
1,22,08
1,22,08
0,6,08
1,10,08
1,16,08
1,16,08
0,17,08
1,16,08
1,16,08
1,16,08
1,16,08
1,16,08
1,16,08
